POLYMER_USED,DRUG,WATER_PH,CONCENTRATION,CAPACITY,SOURCE,POLYMER_PSMILES,DRUG_SMILES
bacterial cellulose aerogel,methylene blue,4,50,16,,,
aerogel,Methylene Blue,4.0,50,13.8,,,
aerogel,Methylene Blue,5.0,50,15.8,,,
aerogel,Methylene Blue,6.0,50,16.3,,,
aerogel,Methylene Blue,7.0,50,59.3,,,
aerogel,Methylene Blue,8.0,50,65.2,,,
aerogel,Methylene Blue,6.5,50,61.0,,,
aerogel,Methylene Blue,6.5,100,46.5,,,
aerogel,Methylene Blue,6.5,150,29.7,,,
aerogel,Methylene Blue,6.5,200,17.4,,,
aerogel,Methylene Blue,6.5,250,14.9,,,
aerogel,Methylene Blue,6.5,400,20.8,,,
*   **Polymers/Compounds/Components:** Cellulose,Carboxymethyl cellulose,Poly(allylamine) hydrochloride,Sodium alginate,Iron hydroxide,Zinc oxide (ZnO),,
bacterial cellulose aerogel,Sunset yellow,6.5,200,20,,,
bacterial cellulose aerogel,Quinoline yellow,6.5,200,20,,,
Synthesized cellulose-based membrane,Methylene Blue,7,5-50,94,,,
*   **Polymers/Adsorbents:** Chitosan,Graphene Oxide,Coconut Husk Activated Carbon,Cellulose-based membrane.,,,,
Cs/lig/PEG,Cr(VI),2,20,30,,,
Cs/lig/PEG,Cr(VI),2,40,45,,,
Cs/lig/PEG,Cr(VI),2,60,50,,,
*   **POLYMER_USED and DRUG:** Found in the text and the legend of **Fig. 11**. The pollutant is $\text{Cr(VI)}$,and the polymers include $\text{Cs/lign}$,$\text{Cs/lign/PEG}$,$\text{Cs}$,and $\text{Cs/lign/MWCNTs}$.,,,
Cs/lign/PEG,Cr(VI),not specified,20-160,63,,,
*   **Polymers/Materials:** Tomato waste HDCA,Olive waste HDCA,HDCA-TiO2,Yeast biomass,Poplar HDCA.,,,
*   **Polymers/Adsorbents:** MIL-100/Cell,$\text{Fe}_3\text{O}_4\text{@MIL-100(Fe)}$,MIL-101(NH$_2$),MIL-201,MIL-101-SO$_3$H,MIL-100(Fe)-SBA-15.,,
Calcium alginate beads with Sp2b biomass,As(III),9,200,3.5,,,
Chitosan Doped Graphite Novel Composite,Fluoride,6.5,1.5,3.7,,,
Metal-alginate particles crosslinked with Fe2+,Ciprofloxacin,7.0,0.1-1.5,356.5,,,C1CC1N2C=C(C(=O)C3=CC(=C(C=C32)N4CCNCC4)F)C(=O)O
Metal-alginate particles crosslinked with Fe2+,Doxycycline,7.0,0.1-2.5,90.0,,,C[C@@H]1[C@H]2[C@@H]([C@H]3[C@@H](C(=O)C(=C([C@]3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O
Metal-alginate particles crosslinked with Fe2+,Amoxicillin,7.0,0.05-1,11.0,,,CC1([C@@H](N2[C@H](S1)[C@@H](C2=O)NC(=O)[C@@H](C3=CC=C(C=C3)O)N)C(=O)O)C
Bacterial cellulose/chitosan-MIL-100(Fe),Dacarbase,4.2,25,340.0,,,
Chitosan,magnetite,and Arthrospira platensis,Tetracycline,8.0,25,,
Chitosan,magnetite,and Arthrospira platensis,Ciprofloxacin,8.0,25,,
Chitosan,magnetite,and Arthrospira platensis,Amoxicillin,8.0,25,,
Chitosan,magnetite,and Chlorella vulgaris,Tetracycline,8.0,25,,
Chitosan,magnetite,and Chlorella vulgaris,Ciprofloxacin,8.0,25,,
Chitosan,magnetite,and Chlorella vulgaris,Amoxicillin,8.0,25,,
Calcium phosphate-chitosan hybrid spheres,Tetracycline,11.0,0-50,223.8,,,C[C@@]1([C@H]2C[C@H]3[C@@H](C(=O)C(=C([C@]3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O
Calcium alginate/chitosan hybrid spheres,Norfloxacin,6.5,25,220.0,,,CCN1C=C(C(=O)C2=CC(=C(C=C21)N3CCNCC3)F)C(=O)O
Polyethylene-grafted chitosan/chitosan spheres,Sodium diclofenac,5.0,50-200,253.3,,,
Amino adipto/chitosan/chitosan crosslinked with glutaraldehyde,Sodium diclofenac,6.0,25,139.5,,,
Metal-alginate particles crosslinked with $\text{Zn}^{2+}$,Metal-alginate particles crosslinked with $\text{Fe}^{2+}$,Bacterial cellulose,Chitosan,$\text{MIL-100(Fe)}$,Magnetite,,
NH2-PAA/Alginate,Cd(II),6.0,100,45,,,[Cd+2]
NH2-PAA/Alginate,Cd(II),200,85,,,,[Cd+2]
NH2-PAA/Alginate,Cd(II),300,110,,,,[Cd+2]
NH2-PAA/Alginate,Cd(II),400,130,,,,[Cd+2]
NH2-PAA/Alginate hydrogel,Pb(II),6.0,50,39.91,,,[Pb+2]
NH2-PAA/Alginate hydrogel,Mn(II),6.0,50,17.07,,,
NH2-PAA/Alginate hydrogel,Cu(II),6.0,50,15.82,,,
NH2-PAA/Alginate hydrogel,Ni(II),6.0,50,13.51,,,
NH2-PAA/Alginate hydrogel,Cd(II),6.0,50,12.02,,,[Cd+2]
NH2-PAA/Alginate hydrogel,Zn(II),6.0,50,9.78,,,
NH2-PAA/Alginate,Cd(II),6.0,50,26.3,,,[Cd+2]
chitosan/poly(ethyleneimine),Hg(II),5,200,180,,,
chitosan/poly(ethyleneimine),Hg(II),400,300,300,,,
chitosan/poly(ethyleneimine),Hg(II),600,400,400,,,
chitosan/poly(ethyleneimine),Hg(II),800,450,450,,,
*   **Adsorbents (Polymers/Materials):** CDC,Commercial graphene,Hydrogen peroxide oxidized graphene,Thermally activated graphene,Multi-walled carbon nanotubes (MWCNT),Mesoporous Artemisia,,
Chitosan-walnut shells composite (Ch-W),Levofloxacin,4,10,4.23,,,C[C@H]1COC2=C3N1C=C(C(=O)C3=CC(=C2N4CCN(CC4)C)F)C(=O)O
*   **Polymers/Compounds:** Chitosan,Walnut shells,Iron(III) oxide (from $\text{Fe}_3\text{O}_4$),Bentonite,Iron oxide.,,,
*   **Adsorbents/Polymers:** ACF,ZnI,ACPs,,,,,
TEMPO-oxidized cellulose,Cd(II),7,50,5.83,,,[Cd+2]
cellulose,methylene blue,10,10,28.0,,,
*   **Polymers:** $\text{N}_2\text{-CL}$,$\text{N}_3\text{-CL}$,"and $\text{N}_4\text{-CL}$ (identified in the text as ""three reactive cellulose derivatives"").",,,,,
*   **Polymers:** The image only provides abbreviations for the cellulose derivatives ($\text{N}_2\text{-CL}$,$\text{N}_3\text{-CL}$,"$\text{N}_4\text{-CL}$) and ""Native cellulose""; full chemical names for these derivatives are not present in the provided text.",,,,,
Cerium(IV) chitosan-based hydrogel,phosphate(V),7,9.76,7.6,,,
Ce-CTS hydrogel,phosphate(V),7,9.3,7.17,,,
cerium-chitosan hydrogel,phosphate(V),7,500,45,,,
cerium-chitosan hydrogel,phosphate(V),7,250,30,,,
cerium-chitosan hydrogel,phosphate(V),7,100,15,,,
cerium-chitosan hydrogel,phosphate(V),7,50,10,,,
cerium-chitosan hydrogel,phosphate(V),7,25,5,,,
Chitosan/MCM-48,Phenol,3-10,5-100,142.5,,,
CNC-alginate,Cr(VI),2,50,265,,,
modified cellulose nanocrystals,Cr(VI),6.4,175,350,,,
Cellulose and nanocrystals,Cr(VI),6,175,270.5,,,
sodium alginate,Cr(VI),6,175,270,,,
* **Polymers/Adsorbents:** Cmc-g-AM/CFe/PC,PCM/AA/AM/GO,PVA/CMC/bentonite,Fe3O4/CMC/poly(AA-co-AM),CMC-Alg/GO hydrogel beads,CMC/GOOH hydrogel,,
*   **Polymers**: BC,BC/CoFe$_2$O$_4$,and BC/CoFe$_2$O$_4$@Mn-Fe LDH,,,,,
GO_3@PVA,Methylene Blue,9,50,247,,,
GO_3@PVA,Methylene Blue,9,100,448,,,
*   Chitosan (including $\text{Chi-Aa}$,$\text{Chi-Aa-IS}$,$\text{CS/SiO}_2$,$\text{CS/MnO}_2$,$\text{CCH}$,$\text{GCCH}$),,
*   **Polymers/Adsorbents:** Sawdust,Rattan sawdust,Durian shell,Waste newspaper,Sewage sludge,Waste tyre,,
*   **Polymers/Materials:** Boron Nitride Nanotubes (BNNT/NBnt),Titanium Dioxide ($\text{TiO}_2$),Chitosan (Chit/Cs),Yttrium,Calcium,Titanium Dioxide,,
Amino Ethyl Chitosan Hydrogel (CS-NH2-4),Methyl Orange,7.0,25,5.0,,,
* **Polymers (Biosorbents):** RAFI-RAW,RAFI-C,RAFI-NCC-Xan (identified in the text as rafinia-derived biosorbents),,,,,
*   **Note:** The chemical names for the polymers/adsorbents (RFI-C,RFI-Activated,RFI-NCC,and ZC/BC composite) are not explicitly provided on this page of the paper.,,,,
* **Polymers/Sorbents:** RFI-RAW,RFI-NCC,RFI-NCC-Xan,,,,,
*   **Polymers/Biosorbents:** RFI-RAW,RFI-NCC,RFI-NCC-Xan,,,,,
Polyamine/XanthanGum,Methylene Blue,6,1.5,22.52,,,
* **Polymers/Compounds:** Carboxymethyl cellulose (CMC),Sodium Montmorillonite (Na-MMT),Xanthan Gum (XG),Alginate (Alg),Polyacrylic acid (PAA),Graphene oxide (GO),,
*   **Polymer:** nano-cellulose beads (specifically TOCNB1,TOCNB2,TOCNB3,and TOCNB4),,,,
PVA-ch,Acid Orange 7,2.5,400,600,,,
PVA-Ch,Acid Orange 7,2.5,170,170,,,
PVA-Ch,Acid Orange 7,4.0,170,170,,,
trimellic anhydride isothiocyanate-linked chitosan hydrogel (H1),BR 12,7,39.3,8.21,,,
PVA/SA-2.8,Cu(II),5,500,80,,,
*   **Polymers:** Sodium Alginate (SA),PVA/SA-2.8,PVA/SA@ZIF-67,,,,,
*   **Materials (Polymers/Carbon structures):** Hierarchically macro/mesoporous carbon,Hierarchical 3D interconnected micro-mesoporous carbon,Hierarchical porous carbons (nano-size microporous),,,,,
*   **Polymers/Components:** Chitosan (CTS),Biochar (BC),PEI (Polyethylenimine),CdS (Cadmium sulfide),,,,
*   **Polymers/Adsorbents:** $\text{TNTs@Cs}_{7.6}$,Hollow carbon/graphene hybrid,Activated carbon spheres from disordered maize cobs,Carbon spheres,Hierarchically porous graphitic spheres,Modified carbon spheres,,
Ungrafted chitosan,Orange G,3,300,34,,,
*   **Polymers/Compounds:** Chitosan,Graphene oxide,CTAB (Cetyltrimethylammonium bromide),,,,,
*   **Polymers (Adsorbents):** Algae magnetic AC,Peganum halia seeds AC,nFe3O4@AC,Typpa MAC,Phosphoric acid treated Af-MAC,,,
Zr-impregnated chitosan beads,phosphate,6.7,100-150,42.02,,,
Zr-loaded pectin/polysaccharide/alginate,phosphate,1.0,10-30,50.76,,,
Chitosan beads modified by zirconium,phosphate,0.2,5-50,60.6,,,
Zr-loaded cross-linked chitosan particles,phosphate,3.7,10-30,23.37,,,
Chitosan Modified Zr-based CMC,phosphate,9.4,5-500,33.89,,,
*   **Polymers/Polysaccharides identified:** Lignin,Lignocellulose,Chitosan,Pectin,Polysaccharide,Alginate,,
*   **Polymers:** HFO-CS/CA,CS/CA,"chitosan (referenced as ""chitosan beads"")",,,,,
Chitosan,4-Nitrophenol,6.8,1.0,40,,,
* **Polymers:** Chitosan,Hydrophobically modified chitosan ($\text{HMC}_1$,$\text{HMC}_2$,$\text{HMC}_3$),,,,
Chitosan/BCA,Pb(II),6,2,368.3,,,[Pb+2]
*   **Polymers/Materials:** Cellulose,Guar gum,Ti-MOF,TiO2,WAF,BCA,,
PVA-ch,Cr(III),1,200,35042,,,
* **Polymers (as listed in table):** CS,Fe-SA,MBGC,BPA,BCG-SA,PAM-derv,,
Bische-Hydrogels,Cu(II),2,50,170,,,
*   **Polymers:** Zn-Al-PO,3% nZVI/Zn-Al-PO,5% nZVI/Zn-Al-PO,,,,,
- **POLYMER_USED,WATER_PH,"and CAPACITY:** Found in **Table 5** (""Comparative performance of COF-Based and magnetic adsorbents for $\text{Cd}^{2+}$ removal"").",,,,,
Composito extrudido de CS y PCL,Cu(II),6,57.75,17.54,,,
Composito extrudido de CS y PCL,Pb(II),12.24,4.69,1.27,,,[Pb+2]
Composito extrudido de CS y PCL,Zn(II),6,334.518,133.25,,,
Composito extrudido de CS y PCL,Fe(II),6,22.43,5.22,,,
Composito extrudido de CS y PCL,Cd(II),6,90.54,162.06,,,[Cd+2]
Composito extrudido de CS y PCL,Al(III),6.32,4.93,1.58,,,
*   **Polymers/Adsorbents:** Magnesium-Iron Layered Double Hydroxide (MgFe/LDH),MgFe/LDH-Eb,and MgFe/LDH-Eb_EDTA (containing EDTA,which is Ethylenediaminetetraacetic acid).,,,,
*   **Adsorbents (Polymers/Composites):** Magnesium-Iron Layered Double Hydroxide (MgFe LDH),MgFeLDH-Eb,and MgFeLDH-EDTA (EDTA functionalized MgFe LDH double hydroxide/carbon fiber composites).,,,,,
PPy,metronidazole,6.17,50,3.0,,,CC1=NC=C(N1CCO)[N+](=O)[O-]
PPy,metronidazole,6.17,100,3.8,,,CC1=NC=C(N1CCO)[N+](=O)[O-]
PPy,metronidazole,6.17,150,4.2,,,CC1=NC=C(N1CCO)[N+](=O)[O-]
PPy,metronidazole,6.17,200,4.5,,,CC1=NC=C(N1CCO)[N+](=O)[O-]
Alginate,Congo Red,2.0,200,355.4,,,C1=CC=C2C(=C1)C(=CC(=C2N)N=NC3=CC=C(C=C3)C4=CC=C(C=C4)N=NC5=C(C6=CC=CC=C6C(=C5)S(=O)(=O)[O-])N)S(=O)(=O)[O-].[Na+].[Na+]
Alginate,Congo Red,3.0,200,371.2,,,C1=CC=C2C(=C1)C(=CC(=C2N)N=NC3=CC=C(C=C3)C4=CC=C(C=C4)N=NC5=C(C6=CC=CC=C6C(=C5)S(=O)(=O)[O-])N)S(=O)(=O)[O-].[Na+].[Na+]
Alginate,Congo Red,4.0,200,343.1,,,C1=CC=C2C(=C1)C(=CC(=C2N)N=NC3=CC=C(C=C3)C4=CC=C(C=C4)N=NC5=C(C6=CC=CC=C6C(=C5)S(=O)(=O)[O-])N)S(=O)(=O)[O-].[Na+].[Na+]
Alginate,Congo Red,5.0,200,284.3,,,C1=CC=C2C(=C1)C(=CC(=C2N)N=NC3=CC=C(C=C3)C4=CC=C(C=C4)N=NC5=C(C6=CC=CC=C6C(=C5)S(=O)(=O)[O-])N)S(=O)(=O)[O-].[Na+].[Na+]
Alginate,Congo Red,6.0,200,233.4,,,C1=CC=C2C(=C1)C(=CC(=C2N)N=NC3=CC=C(C=C3)C4=CC=C(C=C4)N=NC5=C(C6=CC=CC=C6C(=C5)S(=O)(=O)[O-])N)S(=O)(=O)[O-].[Na+].[Na+]
Chitosan,Methylene Blue,6,200,38.2,,,
* **Polymers/Materials:** cellulose nanocrystals,carboxymethyl cellulose,zeolite,citric acid,,,,
Polyacrylic acid/Chitosan,Methylene blue,2.5-4.5,200,78.15,,,
*   **Polymers/Materials (Adsorbents):** MNPs (Undecenoic acid-created),MIL-101(HCI),Activated sludge,Activated carbon Sorbo Norit,Activated carbon Merck,Cyclodextrin Polymer,,
$\text{Alginate/BiDC,Methylene blue,7.25,20,8.53}$,,,
The full chemical names for the polymers (CYP,PPy,CPPy) and the drug/pollutant (CR) are **not provided** in the provided image. Only their abbreviations are present.,,,,,
SA-PVA (0% PVA),Pb(II),5.0,1150,725,,,[Pb+2]
SA-PVA (10% PVA),Pb(II),5.0,1150,775,,,[Pb+2]
SA-PVA (20% PVA),Pb(II),5.0,1150,740,,,[Pb+2]
SA-PVA (30% PVA),Pb(II),5.0,1150,730,,,[Pb+2]
Polysalic acid grafted chitosan,Pb(II),5.48,0.5,204.89,,,[Pb+2]
Alginate adsorbent,Pb(II),5.0,0.2,105.21,,,[Pb+2]
Alginate (AAa),Pb(II),5.0,0.8,536.87,,,[Pb+2]
AFPA/NS hydrogel,Eu(III),1,10,190,,,
AFPA/NS hydrogel,Eu(III),2,10,175,,,
AFPA/NS hydrogel,Eu(III),3,10,170,,,
AFPA/NS hydrogel,Eu(III),4,10,100,,,
AFPA/NS hydrogel,Eu(III),5,10,80,,,
AFPA/NS hydrogel,Ti(IV),1,10,10,,,
AFPA/NS hydrogel,Ti(IV),2,10,30,,,
AFPA/NS hydrogel,Ti(IV),3,10,40,,,
AFPA/NS hydrogel,Ti(IV),4,10,100,,,
AFPA/NS hydrogel,Ti(IV),5,10,100,,,
AFPA/NS hydrogel,Eu(III),4,200,150,,,
AFPA/NS hydrogel,Eu(III),4,400,250,,,
AFPA/NS hydrogel,Eu(III),4,600,350,,,
AFPA/NS hydrogel,Eu(III),4,800,450,,,
AFPA/NS hydrogel,Eu(III),4,1000,550,,,
AFPA/NS hydrogel,Ti(IV),4,200,30,,,
AFPA/NS hydrogel,Ti(IV),4,400,80,,,
AFPA/NS hydrogel,Ti(IV),4,600,120,,,
AFPA/NS hydrogel,Ti(IV),4,800,160,,,
AFPA/NS hydrogel,Ti(IV),4,1000,200,,,
FeS/chitosan-g-poly(acrylamide),Eosin Y,2,100,79,,,
FeS/chitosan-g-poly(acrylamide),Eosin Y,4,100,81,,,
FeS/chitosan-g-poly(acrylamide),Eosin Y,6,100,83,,,
FeS/chitosan-g-poly(acrylamide),Eosin Y,8,100,84,,,
FeS/chitosan-g-poly(acrylamide),Eosin Y,10,100,86,,,
pNIPAM-based hydrogel,caffeine,7.0,2,1.5,,,
pNIPAM-based hydrogel,caffeine,7.0,4,2.5,,,
pNIPAM-based hydrogel,caffeine,7.0,6,3.5,,,
pNIPAM-based hydrogel,caffeine,7.0,8,4.5,,,
pNIPAM-based hydrogel,caffeine,7.0,10,5.0,,,
*   **Adsorbents (referred to as polymers):** p-Hy,Hly-SH,Hly-NH2 (Note: The paper identifies these as clay-based materials,not polymers).,,,,
*   **Polymers/Adsorbents:** GL-CS/G,EDTA-CS/G,SDS-CS/G,CTAB-CS/G (the paper provides these as abbreviations; full chemical names for these specific polymers are not present on this page).,,,,
PCL,glyphosate,4.0,100,23.0,,,
- **Polymers:** DMSO/SP,DMF/SP,U/SP (described as chemically modified serpinte-based materials),,,,,
Cellulose@Fe4O6,Methylene Blue,8,180,3.7113,,,
Cu/PANI composite,Pb(II),6,25,100,,,[Pb+2]
Cu/PANI composite,Pb(II),6,50,75,,,[Pb+2]
Cu/PANI composite,Pb(II),6,75,50,,,[Pb+2]
Cu/PANI composite,Pb(II),6,100,35,,,[Pb+2]
Cu/PANI composite,Pb(II),6,125,20,,,[Pb+2]
*   **Polymers/Adsorbents:** The paper does not provide specific chemical names (e.g.,cellulose,pectin) for the bio-adsorbents,only the names of the biological sources (e.g.,Watermelon Rind,Papaya Seed,,
poly(hydroxyethyl methacrylate),Cd,1,2.0556,270.2,,,
poly(hydroxyethyl methacrylate),Pb,0.528,4.4,909.09,,,
poly(hydroxyethyl methacrylate),Cu,0.886,3,161.29,,,
*   **Polymers:** PANI,Ti/PANI,Ti(Cu)/PANI,Ti(N)/PANI,,,,
Ti/N/PANI,Methyl Orange,7,120,95,,,
Ti/Cu/PANI,Methyl Orange,7,120,105,,,
Chitosan/alginate,Zirconium,2,3.10,1.64,,,
Cyclodextrin polymer,Chitosan/MWCNTs,Chitosan/alginate,HCs with chemically modified bios,HCs adsorbent,Sulfonated HCs,,
*   **Polymers:** CS-FM,SLS-CS-FM,CS@ZIF-8,SLS@CS@ZIF-8,,,,
*   **Polymers:** HA-100,HA-500,HA-900 (The specific chemical names for these polymers are not provided in the provided text,only their designation codes).,,,,
The chemical names for the polymers (adsorbents) and the drug/pollutant are not present in the provided image. The text only refers to the adsorbent materials by their common names (Golden shower pod,Orange peel,"Coconut shell) and uses the label ""MG5"" which",based on the caption,appears to refer to the experimental subject or adsorbent,but does not provide a specific chemical structure or name for a drug.,,
*   **Polymers:** R.C,N.C,S.C,,,,,
*   **Polymers/Precursors:** Melamine,Panoram,Silica,,,,,
*   **Polymers/Crosslinkers:** Chitosan (CTS),Polyacrylamide (PAM),Ethylenediaminetetraacetic acid (EDTA),N-methylenebisacrylamide,,,,
*   **Polymer/Adsorbent components:** polyanite,polyethylene glycol,tasses biocarb,,,,,
* **Adsorbent/Polymer:** Sep-MnO2,Sep,MnO2,magnetite (Fe3O4),,,,
Chitosan,Reactive Red 198,5,150,97.41,,,
Chitosan,Reactive Red 198,2,150,187,,,
Chitosan,Reactive Red 198,3,150,193,,,
Chitosan,Reactive Red 198,4,150,196,,,
Chitosan,Reactive Red 198,6,150,196,,,
Chitosan,Reactive Red 198,7,150,194,,,
Chitosan,Reactive Red 198,8,150,192,,,
Chitosan,Reactive Red 198,9,150,190,,,
Chitosan,Reactive Red 198,10,150,188,,,
under-size chitosan,Reactive Red 198,5,100,100,,,
under-size chitosan,Reactive Red 198,5,200,150,,,
over-size chitosan,Reactive Red 198,5,100,100,,,
over-size chitosan,Reactive Red 198,5,200,150,,,
chitosan flakes,Methylene Blue,N/A,10,0.9641,,,
chitosan flakes,Methylene Blue,N/A,60,3.67,,,
crosslinked cellulose,safranin,7,300,1395,,,
*   **Polymers (Sorbents):** Vine shoots,Grape stalks,Exhausted pomace,Alkaline-treated coconut shell,Pomelo peel,and Modified sugarcane bagasse.,,
"*   **Polymers/Adsorbents:** EP""HMO""","PVOH""HMO""",HMOVA,HMO,HMO-BA5,,,
* **POLYMER_USED (Adsorbents):** Figure 6 legend and text (rambutan peel,Hc,Ni/Al-Hc,Cu/Al-Hc,Zn/Al-Hc).,,,
* **Adsorbents (Polymers):** Hydrotalcites (specifically Ni/Al-Hc,Cu/Al-Hc,Zn/Al-Hc,and Hc) and Rambutan Peel.,,,,
CK-NF-Fe Cryogel composite,Methylene Blue,2,150,90,,,
CK-NF-Fe Cryogel composite,Methylene Blue,3,150,100,,,
CK-NF-Fe Cryogel composite,Methylene Blue,4,150,115,,,
CK-NF-Fe Cryogel composite,Methylene Blue,5,150,130,,,
CK-NF-Fe Cryogel composite,Methylene Blue,6,150,140,,,
CK-NF-Fe Cryogel composite,Methylene Blue,7,150,145,,,
CK-NF-Fe Cryogel composite,Methylene Blue,8,150,145,,,
CK-NF-Fe Cryogel composite,Methylene Blue,9,150,145,,,
CK-NF-Fe Cryogel composite,Methylene Blue,10,150,145,,,
CK-NF-Fe Cryogel composite,Methylene Blue,11,150,145,,,
CK-CNF-Fe cryogel,Methylene Blue,7,7.39,97.61,,,
CK-CNF-Fe cryogel,Methylene Blue,7,20.09,130.71,,,
CK-CNF-Fe cryogel,Methylene Blue,7,54.60,175.03,,,
$\text{Fe}^{3+}$-stabilized magnetic polycomposite,methylene blue,4-10,10,20.8,,,
*   **CAPACITY and POLYMER_USED:** Found in **Table 2**,row 6,"under the columns ""Adsorbent"" ($q_e$ value) and ""$q_e$ (mg)"". (Note: While the table header says ""mg""",in the context of adsorption capacity $q_e$,this represents $\text{mg/g}$).,,,
Polyvinyl Alcohol (PVA),Congo red,1,75,14.31,,,C1=CC=C2C(=C1)C(=CC(=C2N)N=NC3=CC=C(C=C3)C4=CC=C(C=C4)N=NC5=C(C6=CC=CC=C6C(=C5)S(=O)(=O)[O-])N)S(=O)(=O)[O-].[Na+].[Na+]
*   **Adsorbents/Polymers:** HPO$_2$ modified Silk worms fates,HPO$_2$ modified Rice husk,HPO$_2$ modified Moringa oleifera pod,HPO$_2$ modified Sugar cane bagasse.,,,,
*   **Polymers:** Azeh2,Azeh10,and Azeh-TDI (or CNC-TDI) (The paper only provides these identifiers; no full chemical names for the polymers are present on this page).,,,,,
* **Polymers:** The full chemical names for the polymers (Azeh2,Azeh-TDI,and Azeh10) are not provided in the provided image text.,,,,,
*   **Polymers:** ABC_MIP,NVP_MIP,EFV_MIP (Molecularly Imprinted Polymers for Abacavir,Nevirapine,and Efavirenz respectively).,,,
Poly(DMAEMA/HDNCS),AR GR light yellow,1,5,1250.9,,,
*   **Polymer components:** Chitosan,Poly(vinyl alcohol),Titanium dioxide,,,,,
Chitosan/PEO,Fluoxetine,7,50,82.11,,,CNCCC(C1=CC=CC=C1)OC2=CC=C(C=C2)C(F)(F)F
Chitosan/PEO,Venlafaxine,7,50,54.02,,,
Chitosan/PEO,Carbamazepine,7,50,47.51,,,C1=CC=C2C(=C1)C=CC3=CC=CC=C3N2C(=O)N
Chitosan/PEO,Ibuprofen,7,50,25.98,,,CC(C)CC1=CC=C(C=C1)C(C)C(=O)O
*   **Polymers/Monomers:** alpha-cyclodextrin,beta-cyclodextrin,gamma-cyclodextrin,1,4-bisacryloylpiperazine,2,,
- **POLYMER_USED:** Identified in the text and legends of Figures 5,6,and 7 (AMPS90,AMPS50,AMPS10).,,,
*   **Polymers/Adsorbents**: $\text{Si-NO}_2$,$\text{Si-MNO}_2$,$\text{Si-PNO}_2$ (as identified in the text),,,,,
*   **Polymers:** $\text{Si-o-NO}_2$,$\text{Si-m-NO}_2$,$\text{Si-p-NO}_2$ (Full chemical names are not provided on this page).,,,,,
*   **Polymers:** AECMC-1,AECMC-2,AECMC-3,AECMC-4,,,,
carboxylated chitosan,Alura Red,7.0,0.1,5.0,,,
carboxylated chitosan,Alura Red,7.0,0.2,10.0,,,
carboxylated chitosan,Alura Red,7.0,0.3,15.0,,,
DEB-carboxylated chitosan,Alura Red,7.0,0.1,3.0,,,
DEB-carboxylated chitosan,Alura Red,7.0,0.2,6.0,,,
DEB-carboxylated chitosan,Alura Red,7.0,0.3,9.0,,,
* **Adsorbents (Polymers):** $\text{Fe}_3\text{O}_4\text{ NPs@C}_8\text{H}_8\text{SO}_3\text{H}$ (Iron(II,III) oxide nanoparticles at sulfated carbon),Nanocarbon,FMBC.,,,,
Palm tree-derived polymer,Methylene blue,1,34.6,26.08,,,
*   **Polymers/Adsorbents:** Palm textile-derived,Palm bark-derived,Palm leaves powder,Oil palm fried magnetic,Palm tree-derived polymer (referred to in text as PP).,,,
*   **Polymers (Adsorbents):** Ordered Mesoporous Carbon (OMC),Fe-modified OMC (FeOMC),and Tri-Fe-modified OMC (TriFeOMC).,,,,,
*   **Adsorbents (Polymers):** Miswak,Walnut,Reed,Rapana ferreena,Stem,Sheath palm,,
Chitosan/polyacrylamide/imidazole Framework-8,Pyrocatechol,5,25,30.75,,,
Chitosan/polyacrylamide/imidazole Framework-8,p-Cresol,5,25,30.03,,,
*   **Polymers:** Chitosan,Polyacrylamide,Imidazole Framework-8,,,,,
chitosan composite,azithromycin,6.7,20,66.1,,,
Fe3+/Ni3+/alginate beads,2,4,6-TCP,2,10,,
Fe0/Ni0/alginate beads,2,4,6-TCP,2,10,,
TLAC:Chitosan Composite,crystal violet,9,5,12.5,,,
*   **Polymers:** Cellulose (from HFCM),Chitosan,Poly(acrylamide),Dextran,,,,
*   **Polymer/Adsorbent:** The adsorbents are listed by their material composition (e.g.,**AC from coffee waste (CWAC-NaOH-800)**,**Biochar from excess sludge**,etc.) as shown in Table 5.,,,,
poly(vinyl alcohol),Carbamazepine,7.0,10,3.22,,,C1=CC=C2C(=C1)C=CC3=CC=CC=C3N2C(=O)N
poly(vinyl alcohol),Diclofenac,7.0,10,0.77,,,C1=CC=C(C(=C1)CC(=O)O)NC2=C(C=CC=C2Cl)Cl
*   **Adsorbents/Polymers:** FSBM,ATFSBC,Cu/FS Nc,,,,,
Polyacrylamide-grafted Actiniadelicia peels powder (PGADP),Crystal Violet,7,20,75.19,,,
*   **Polymers/Compounds:** Polyacrylamide,Sodium alginate,Chitin,Zinc oxide,Graphite oxide,Biosilica,,
G3 hydrogel (poly(Acr/Sty)),Cr(III),,10,20,,,
G3 hydrogel (poly(Acr/Sty)),Cr(III),,50,50,,,
G3 hydrogel (poly(Acr/Sty)),Cr(III),,100,75,,,
G3 hydrogel (poly(Acr/Sty)),Cr(III),,200,230,,,
G3 hydrogel (poly(Acr/Sty)),Cr(III),,350,330,,,
G3 hydrogel (poly(Acr/Sty)),Cr(III),,500,360,,,
poly(Acr/Sty) G13,Cr(III),,,51.8,,,
poly(Acr/Sty) G14,Cr(III),,,63.4,,,
poly(Acr/Sty) G15,Cr(III),,,49.6,,,
